thrust 16V,rpm 16V,power 16V,current 16V,voltage 16V,pwm 16V,thrust (kgf) 16V,efficiency (g/w) 16V,thrust 12V,rpm 12V,power 12V,current 12V,voltage 12V,pwm 12V,thrust (kgf) 12V,efficiency (g/w) 12V
-9,3200,344.48,21.53,14.98,1100,-4.082336185,11.85072046,-6.62,2960,182.2,15.4,11.83,1100,-3.00278506,16.48070835
-8.9,2767,341.92,21.37,15.25,1110,-4.082336185,11.93944836,-6.58,2870,181.03,15.19,11.92,1110,-2.984641344,16.48699853
-8.7,3245,328.96,20.56,15.33,1120,-4.086872114,12.42361416,-6.34,2837,169.05,14.25,11.86,1120,-2.875779046,17.0114111
-8.44,3269,305.12,19.07,15.35,1130,-3.828324156,12.54694597,-6.09,2784,160.31,13.48,11.89,1130,-2.762380818,17.2314941
-8.23,3269,289.12,18.07,15.35,1140,-3.733069645,12.91183469,-5.8,2750,146.97,12.38,11.87,1140,-2.630838875,17.90051626
-7.98,3186,272.16,17.01,15.35,1150,-3.619671417,13.2997921,-5.59,2693,138.13,11.66,11.85,1150,-2.535584364,18.35650738
-7.59,3141,254.56,15.91,15.35,1160,-3.442770183,13.52439575,-5.23,2655,129.74,10.95,11.85,1160,-2.372290916,18.28496159
-7.28,3084,238.72,14.92,15.35,1170,-3.302156381,13.83275964,-5.15,2595,122.62,10.32,11.88,1170,-2.336003484,19.05075423
-7.02,3027,222.08,13.88,15.35,1180,-3.184222224,14.33817644,-4.98,2556,115.86,9.72,11.92,1180,-2.258892689,19.49674339
-6.74,2959,206.56,12.91,15.35,1190,-3.05721621,14.80062069,-4.77,2494,107.18,9,11.91,1190,-2.163638178,20.18695818
-6.41,2912,194.88,12.18,15.35,1200,-2.907530549,14.91959436,-4.34,2423,98.66,8.31,11.88,1200,-1.968593227,19.95330658
-6.21,2847,182.08,11.38,15.35,1210,-2.816811968,15.47018875,-4.01,2390,90.31,7.6,11.88,1210,-1.818907567,20.14071052
-5.97,2776,167.36,10.46,15.35,1220,-2.707949669,16.1803876,-3.86,2348,82.64,6.94,11.9,1220,-1.75086863,21.18669688
-5.57,2732,152.48,9.53,15.35,1230,-2.526512506,16.56946816,-3.72,2286,77.22,6.47,11.93,1230,-1.687365623,21.85140667
-5.21,2663,144.16,9.01,15.35,1240,-2.363219058,16.39302898,-3.48,2227,71.44,5.97,11.96,1240,-1.578503325,22.09551127
-4.98,2581,130.88,8.18,15.35,1250,-2.258892689,17.25926566,-3.18,2168,64.4,5.4,11.93,1250,-1.442425452,22.39791075
-4.8,2503,119.84,7.49,15.34,1260,-2.177245965,18.1679403,-3.11,2074,60.03,5.03,11.94,1260,-1.410673948,23.49948273
